285.2	52	14.6	222	630.3	630.3	70
177.7	30	13.8	281	680.9	1311.2	48
268.6	50	8.2	207	389.1	1070	56
124.2	25	2.5	167	618.8	1007.9	41
153.6	36	8.2	190	548.4	1167.3	42
167	35	11.3	158	651.3	1199.7	43
191.4	47	17.6	350	423.4	1074.7	58
213.7	32	12.1	167	592.9	1016.3	45
124.4	20	6.8	215	552.3	1145.2	45
127.4	31	8.8	413	581.7	1133.9	42
142.2	33	10.6	206	422.5	1004.2	50
412.4	55	11.2	248	306.9	729.4	61
131.5	27	5.7	163	615	921.9	47
136.4	26	14.6	111	726.5	1341.5	46
111.2	29	3.1	373	457	1183.5	37
97.5	26	4.5	352	625	1082	44
152.3	24	11	298	609.7	1234.7	44
